% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sqrt(diag(C))", seed=261133, Tue Aug 23 10:54:18 2022, <python>{}</python>
99 990 0.13783798140763248 0 0 0.06526450687829692 0.15391783477445364 0.15744008864938094 0.062099116479096494 0.21453434681355985 0.06478897646650342 0.05825580971197906 0.04967064523949131 0.038616854948091354
100 1000 0.1430791541623878 0 0 0.06698382473525413 0.1667439406761041 0.1653920491079552 0.06342836519199856 0.2279865024827256 0.06467060196541446 0.05930137159976053 0.053192002458829345 0.04100966248564693
101 1010 0.13849291372000958 0 0 0.06400913122100108 0.15943642042511566 0.1602561468792345 0.06141022562095505 0.22420992634436449 0.06049518533579939 0.05736889466473731 0.05149248831116065 0.03976389995571097
102 1020 0.1459740419342228 0 0 0.06633649054284177 0.16888235754774472 0.1736476223408088 0.06432404000762612 0.24006142315511994 0.06251340863597526 0.06019204487554741 0.05364981577212813 0.040766825693319395
103 1030 0.13214594249143435 0 0 0.05896821391832647 0.14812509819391267 0.15993444651929453 0.057696930811526506 0.21656339452668452 0.05664726150467613 0.05157714368401681 0.04747762092221544 0.03689294748714652
104 1040 0.12876041751969922 0 0 0.056343334657767384 0.1461561871855085 0.1503751230238875 0.05529276032476221 0.21839354320346965 0.054339860440992496 0.05003611828439028 0.04612611242079095 0.03562536690204765
105 1050 0.11658915214232139 0 0 0.050035459907805 0.1303923464927189 0.134502886013517 0.0484051258785006 0.19848396387688577 0.04756488920021056 0.045716424577615454 0.04162607144976701 0.03223912599384956
106 1060 0.1123963607826643 0 0 0.047848704256089516 0.12496528328344232 0.12643556377793055 0.045355271173124524 0.19088971545238892 0.04647875931758606 0.04444774869778963 0.039925077177087986 0.0310776359970591
107 1070 0.10764239555973278 0 0 0.044776321522717655 0.11893003755075506 0.1200047975220751 0.04410561448436598 0.18366542307513548 0.04433849180105432 0.04095153569330777 0.03777094352678706 0.030214929959142205
108 1080 0.10349778356561821 0 0 0.04133700740282033 0.11487878004719561 0.11948024309526133 0.041489993010622186 0.17676667935823967 0.042789041250371945 0.0392707756655799 0.035699360577257026 0.028947327814908427
109 1090 0.09351986527459455 0 0 0.03709424501667485 0.10372213954298208 0.10821378977946962 0.036460504728898696 0.15939048945717674 0.037690401821628694 0.035533952453053755 0.03217262018024675 0.025048559220996986
110 1100 0.08367295885225043 0 0 0.03193472059180198 0.09125705076996324 0.09827048267968706 0.03214290544752974 0.14283909080104382 0.03328911196701899 0.031019684169147254 0.02816722350075146 0.022293649726648105
111 1110 0.0750595737785927 0 0 0.02736042089345783 0.07996493771569113 0.08864618964538233 0.028224711472780894 0.12594008471037604 0.03010943495639584 0.027081338472307828 0.025144239106103895 0.01999470741216378
112 1120 0.07033731556833638 0 0 0.02539152226190791 0.07459518327269218 0.08138100335010541 0.026421283556428404 0.11739036259887321 0.027250517813075432 0.025236604488189086 0.023047666178585495 0.018354383332388573
113 1130 0.07179430103775457 0 0 0.025959227389037207 0.07824619124458924 0.08078929419293605 0.02711682203662301 0.12564974036597096 0.02759368681537505 0.025865316553326207 0.022413061664824378 0.01788531123770242
114 1140 0.07128416120220851 0 0 0.025391151691583413 0.07755868340410814 0.0816842259235853 0.026633797699224436 0.12350695406356911 0.027076873867580294 0.02516008294713701 0.02212996514396731 0.017389355530031878
115 1150 0.07512684450809533 0 0 0.02709558682999726 0.08779444573658039 0.08209028939314032 0.02776121686808058 0.13191312198075789 0.028420626048492516 0.02680966257578167 0.02317829257724131 0.01812928329123345
116 1160 0.07419212978031753 0 0 0.02577408062100691 0.08910250287781048 0.08155775185962322 0.027177948623345605 0.12694607918191983 0.02792704189139741 0.026929492957932087 0.023045968889260176 0.01782635109282228
117 1170 0.07837103878331496 0 0 0.027186754255088482 0.09429790336368318 0.08618066379520302 0.028679055047117624 0.1423563342780401 0.030072459646099232 0.028029612673442186 0.024005681545569695 0.0197058148662643
118 1180 0.09008293241218263 0 0 0.030703106170647226 0.11483919928079339 0.09481540974535184 0.034023613092516905 0.17046567201169238 0.0344624463243917 0.03213360423974161 0.030334506499053518 0.023328094394255216
119 1190 0.09631983406087159 0 0 0.03285134345595146 0.1229674575669866 0.10136180408724083 0.03587195660561693 0.18048536806166265 0.03618493417286152 0.03492814575322239 0.03223215194360873 0.02508868943816175
120 1200 0.09580851102365245 0 0 0.03275012852313792 0.12156250820417717 0.09961350334821958 0.03590704478409673 0.1789265574630311 0.03563158073958005 0.033743181334999206 0.03186079824299341 0.024642196878926506
121 1210 0.10149038503566236 0 0 0.03470303260303269 0.1288304110385272 0.10702447027984463 0.03931451968108751 0.19384706318803469 0.03692022698215825 0.033793684146064915 0.03361963791366541 0.026468760112782014
122 1220 0.10018595258885252 0 0 0.03386622763619722 0.1271342343815936 0.1063607405194808 0.038624625839884595 0.19381961589763308 0.03612308237462094 0.03246265665304193 0.03274287372529214 0.026051471488565736
123 1230 0.0976339378290287 0 0 0.033531765745554644 0.12378346708913447 0.10250321325128874 0.03792551505745541 0.18626083031726803 0.03446375587229917 0.031955893075089385 0.032184748373935354 0.025345653243196105
124 1240 0.09638719197084726 0 0 0.033668860736212745 0.12258610309775252 0.09846524728315016 0.03818873866123102 0.19396931463567302 0.0314751255777109 0.03121636800909739 0.030698038915780986 0.025490305668552815
125 1250 0.08533941630865509 0 0 0.02989679333515482 0.10512351689893418 0.08290061985714739 0.03374535179983794 0.17123206694122803 0.02721758465915457 0.027629742073098217 0.02657054526921762 0.02201441089878367
126 1260 0.0862600227590496 0 0 0.029957405517037326 0.10414498189865398 0.08478973552932195 0.033923343805179654 0.1753381789381852 0.02677067625864128 0.02861341361111106 0.026223311113058603 0.022285035319975267
127 1270 0.07785272179003969 0 0 0.026167255010654984 0.09369625896003278 0.07536735928210722 0.02972493690155387 0.15725358711986925 0.02372726709403863 0.025679595160695796 0.022466325566029455 0.020350301100444557
128 1280 0.07390573712057213 0 0 0.024350894173869164 0.08959491974359117 0.07170663399093165 0.02803400309054176 0.148665820202724 0.02218704372949896 0.024223486920101806 0.02093715958024069 0.019493581136494343
129 1290 0.06636419278719655 0 0 0.021268144205505362 0.07854725217317719 0.06553793890898452 0.024621070713121782 0.13190958092212868 0.019806584061669665 0.021870635078110046 0.01813610826726048 0.017517071380624354
130 1300 0.06255150175482367 0 0 0.020036133153805306 0.07551808078722538 0.05997367339579742 0.022720511879267744 0.1237261051079293 0.017897375275350163 0.02105882539681945 0.017098499910346395 0.016782117551960782
131 1310 0.05711817947328307 0 0 0.01771112591570821 0.06916207361501861 0.0539328371083868 0.020287605312312367 0.11020882313067924 0.01579740845922872 0.01930463453189466 0.01518533321730485 0.014836788325860148
132 1320 0.052980385125031684 0 0 0.016112874514755442 0.06416713841918122 0.04907600630925919 0.018913059475810397 0.10162301399310861 0.013874164093153063 0.01754114113703095 0.014694012754027728 0.013854356047968487
133 1330 0.04901587360315353 0 0 0.014885264921879185 0.059309232880627075 0.045322433900381036 0.017620366046959667 0.09245886000554172 0.012902319372425634 0.016099212960658475 0.01321281024662047 0.012631260302639533
134 1340 0.044860041641745736 0 0 0.013417410731773253 0.054158216680016115 0.0405223923866921 0.01594022575161999 0.08371205617932916 0.0117406829609099 0.014443887251058406 0.012259924494976314 0.011363914229239628
135 1350 0.04156656614190953 0 0 0.012111684036939793 0.054043614409797054 0.03730694065995016 0.014558425872611153 0.0771203894872591 0.010724139967873551 0.013592461063607552 0.011212010800161813 0.010311307674248546
136 1360 0.03711230207134272 0 0 0.010653094770877848 0.04768584159999508 0.03278104628358053 0.012890377690867944 0.06793221384103369 0.009160138776738332 0.012101963221200055 0.009837453267808709 0.009059495718021619
137 1370 0.0348584326746436 0 0 0.009757226957856567 0.04486820999699457 0.030556113362180663 0.012209009109023816 0.06348327889173067 0.008432589612644077 0.011330252490511759 0.009202224476111378 0.008605413209489935
138 1380 0.03320376377226939 0 0 0.00910101285976723 0.042501627671258424 0.02898225964163261 0.011519786058535798 0.0588217015891068 0.00816278661800177 0.010760990554374605 0.00875831736679962 0.008198419469818204
139 1390 0.03153004310648307 0 0 0.00850717118321851 0.03995661966837581 0.02715505773136579 0.010900580056822677 0.05567555483245945 0.007383695917126105 0.010192452734125309 0.008077175289677998 0.007733116871191816
140 1400 0.02781901897063796 0 0 0.007397525743324365 0.03451854074368358 0.023474606672171786 0.009586682486012035 0.04811164821236178 0.006284084786112142 0.009025470837607045 0.007084655264613506 0.0068603755493877065
141 1410 0.02564940344628442 0 0 0.006842739570968092 0.03165355602879487 0.02170767188041372 0.008829662644397567 0.04465291273763722 0.005835550164199004 0.008322412701280585 0.0065854077569320055 0.0062308917222969875
